Date,Open,High,Low,Close,Adj Close,Volume,Days
2014-10-27,118.910004,120.099998,118.910004,119.68,93.288033,93700,167
2014-10-28,120.050003,120.290001,119.699997,120.260002,93.740173,72900,168
2014-10-29,120.389999,120.57,119.470001,120.18,93.677811,96400,169
2014-10-30,119.790001,121.169998,119.610001,120.93,94.262413,62100,170
2014-10-31,121.919998,122,121.449997,121.82,94.956139,100000,171
2014-11-03,121.699997,122.309998,121.599998,122.279999,95.314713,179900,172
2014-11-04,122,123.019997,122,122.830002,95.743431,106300,173
2014-11-05,123.489998,124.099998,123.040001,123.580002,96.327995,97300,174
2014-11-06,123.75,124.050003,123.330002,123.900002,96.577454,273100,175
2014-11-07,123.769997,124.139999,123.169998,124.120003,96.74897,75700,176
2014-11-10,124.18,124.739998,123.800003,124.720001,97.216644,60900,177
2014-11-11,124.730003,124.839996,124.209999,124.440002,96.998367,71000,178
2014-11-12,124.080002,124.699997,123.940002,124.529999,97.068535,62400,179
2014-11-13,124.599998,125.599998,124.580002,125.019997,97.450478,64700,180
2014-11-14,125.059998,125.059998,124.019997,124.330002,96.912621,71900,181
2014-11-17,124.199997,125.050003,124.199997,125.029999,97.458282,76800,182
2014-11-18,125.080002,125.690002,124.959999,125.589996,97.894768,71400,183
2014-11-19,125.599998,126.110001,125.370003,126.019997,98.229935,94300,184
2014-11-20,125.589996,125.800003,125.32,125.529999,97.848,63700,185
2014-11-21,126.639999,126.669998,125.889999,126.129997,98.315704,112800,186
2014-11-24,126.410004,126.559998,125.809998,125.959999,98.183189,111600,187
2014-11-25,126.080002,126.389999,125.800003,126.190002,98.362473,113500,188
2014-11-26,126.239998,126.730003,126.239998,126.709999,98.767784,67200,189
2014-11-28,126.910004,128.529999,126.910004,128.080002,99.83567,63400,190
2014-12-01,127.68,127.849998,127.169998,127.389999,99.297813,122500,191
2014-12-02,127.400002,127.910004,127.349998,127.75,99.578438,128900,192
2014-12-03,127.730003,127.779999,126.830002,127.099998,99.071785,99800,193
2014-12-04,127.089996,127.18,126.410004,126.989998,98.986053,78900,194
2014-12-05,127.050003,127.25,126.559998,127.239998,99.180908,63700,195
2014-12-08,127,127.660004,126.650002,126.910004,98.923706,89300,196
2014-12-09,126.050003,126.639999,125.32,126.629997,98.705421,101200,197
2014-12-10,126.650002,126.919998,125.25,125.309998,97.676537,124400,198
2014-12-11,125.720001,127.139999,125.720001,126.410004,98.533936,78500,199
2014-12-12,125.800003,126.790001,124.760002,124.860001,97.325752,107000,200
2014-12-15,125.190002,125.639999,123.5,123.949997,96.61644,156400,201
2014-12-16,123.540001,125.860001,123.370003,123.419998,96.203285,154400,202
2014-12-17,123.830002,125.489998,123.709999,125.300003,97.668732,109300,203
2014-12-18,124.110001,125.419998,123.660004,125.419998,99.685165,160900,204
2014-12-19,125.550003,125.980003,125.080002,125.279999,99.573875,139100,205
2014-12-22,125.470001,126.389999,125.470001,126.389999,100.456131,127800,206
2014-12-23,126.720001,127.540001,126.529999,127.389999,101.250923,108300,207
2014-12-24,127.650002,127.769997,127.129997,127.139999,101.052246,193500,208
2014-12-26,127.389999,127.739998,127.25,127.379997,101.242966,69800,209
2014-12-29,127.300003,127.300003,126.589996,127.050003,100.980698,502500,210
2014-12-30,126.870003,127.120003,126.459999,126.510002,100.551506,147300,211
2014-12-31,126.919998,126.919998,124.959999,125.239998,99.542114,83100,212
2015-01-02,125.449997,125.540001,123.82,124.480003,98.938034,258200,213
2015-01-05,124.370003,124.580002,123.370003,123.459999,98.12735,165600,214
2015-01-06,124.019997,124.629997,122.900002,123.360001,98.047874,195700,215
2015-01-07,124.290001,125.510002,124.169998,125.389999,99.661301,112500,216
2015-01-08,126.480003,127.449997,126.269997,127.32,101.195297,255100,217
2015-01-09,127.739998,127.739998,126.309998,126.339996,100.416374,115600,218
2015-01-12,126.5,126.620003,125.580002,125.830002,100.011032,129400,219
2015-01-13,126.57,127.360001,125,125.779999,99.971313,174100,220
